ticket_id,customer_id,tickets_last_year,complaint_category,avg_resolution_hours,satisfaction_score,escalated,issue_status
7000001,1335244,1,Account Issue,18.4,1.6,Yes,Resolved
7000002,1354786,7,Delivery Delay,3.1,1.9,Yes,Resolved
7000003,1294255,7,Refund Request,32.9,2.1,Yes,Resolved
7000004,1397834,7,Technical Problem,20.7,1.9,Yes,Closed
7000005,1053588,7,Payment Issue,26.5,2.4,Yes,Closed
7000006,1423168,8,Payment Issue,70.1,2.5,Yes,Closed
7000007,1434847,4,Payment Issue,4.3,1.9,No,Closed
7000008,1041834,2,Wrong Item,20.7,3.5,Yes,Closed
7000009,1085278,6,Refund Request,48.6,3.8,No,Resolved
7000010,1319361,4,Product Quality,33.8,2.1,Yes,Open
7000011,1358936,1,Refund Request,59.3,4.2,No,Escalated
7000012,1140374,4,Technical Problem,16.1,3.0,Yes,Escalated
7000013,1074906,3,Refund Request,53.9,3.2,No,Escalated
7000014,1470718,6,Refund Request,71.8,1.6,No,Escalated
7000015,1047663,2,Product Quality,45.5,4.2,Yes,Escalated
7000016,1312691,7,Wrong Item,43.3,2.9,Yes,Closed
7000017,1290050,2,Account Issue,55.6,2.4,Yes,Closed
7000018,1227943,8,Delivery Delay,68.7,4.5,Yes,Closed
7000019,1262452,2,Account Issue,60.8,3.0,Yes,Open
7000020,1080132,3,Delivery Delay,43.5,3.0,No,Resolved
7000021,1487116,5,Refund Request,5.1,4.5,No,Resolved
7000022,1044908,2,Product Quality,10.1,2.9,No,Open
7000023,1138967,4,Refund Request,51.6,2.6,No,Closed
7000024,1229691,2,Refund Request,17.0,2.4,No,Open
7000025,1308513,1,Payment Issue,51.3,1.2,Yes,Resolved
7000026,1474701,6,Payment Issue,37.5,2.1,Yes,Escalated
7000027,1112322,8,Refund Request,56.7,4.2,Yes,Open
7000028,1049454,7,Technical Problem,31.1,2.9,Yes,Resolved
7000029,1353037,1,Wrong Item,52.7,4.2,Yes,Resolved
7000030,1130368,4,Other,11.0,1.7,Yes,Escalated
7000031,1130971,8,Payment Issue,4.6,5.0,Yes,Resolved
7000032,1048897,3,Wrong Item,35.5,1.9,Yes,Escalated
7000033,1473140,3,Wrong Item,1.2,2.6,Yes,Escalated
7000034,1149553,8,Product Quality,14.5,1.9,No,Resolved
7000035,1303658,6,Delivery Delay,4.6,2.9,Yes,Open
7000036,1029822,3,Payment Issue,43.2,3.7,Yes,Open
7000037,1211695,4,Delivery Delay,45.0,2.7,Yes,Closed
7000038,1490056,4,Technical Problem,17.9,2.6,No,Closed
7000039,1239718,2,Delivery Delay,33.5,5.0,No,Resolved
7000040,1038410,5,Product Quality,67.3,4.5,Yes,Open
7000041,1193739,3,Other,60.2,3.8,No,Resolved
7000042,1350153,2,Product Quality,19.8,4.6,No,Open
7000043,1142789,4,Technical Problem,15.5,3.5,No,Closed
7000044,1264980,5,Delivery Delay,7.6,2.7,No,Closed
7000045,1023115,6,Product Quality,46.2,2.0,Yes,Escalated
7000046,1289240,1,Payment Issue,6.3,4.5,No,Open
7000047,1286047,6,Product Quality,31.5,1.2,Yes,Closed
7000048,1471326,6,Refund Request,49.4,3.7,Yes,Closed
7000049,1409006,3,Refund Request,62.4,4.9,No,Open
7000050,1462116,1,Product Quality,53.3,2.3,No,Escalated
7000051,1420603,5,Product Quality,56.9,1.4,Yes,Resolved
7000052,1450151,4,Refund Request,59.0,2.8,No,Closed
7000053,1430198,4,Delivery Delay,47.9,2.6,Yes,Closed
7000054,1453170,5,Technical Problem,46.5,2.6,Yes,Closed
7000055,1492431,2,Account Issue,13.7,4.9,Yes,Closed
7000056,1020058,7,Technical Problem,52.7,2.3,Yes,Resolved
7000057,1201954,5,Delivery Delay,51.3,1.0,Yes,Open
7000058,1190957,2,Technical Problem,45.2,3.7,No,Resolved
7000059,1377359,5,Wrong Item,24.2,3.8,No,Open
7000060,1100580,7,Product Quality,44.7,2.2,No,Resolved
7000061,1159318,4,Wrong Item,56.8,3.4,No,Closed
7000062,1243788,8,Refund Request,37.3,4.2,No,Open
7000063,1345428,5,Technical Problem,7.6,4.8,Yes,Open
7000064,1352739,4,Refund Request,11.5,1.2,No,Escalated
7000065,1320484,8,Wrong Item,63.9,3.3,Yes,Escalated
7000066,1259197,4,Product Quality,47.6,1.0,No,Resolved
7000067,1408117,4,Product Quality,58.1,3.8,No,Escalated
7000068,1026329,2,Other,10.5,2.9,Yes,Closed
7000069,1498095,7,Other,64.7,4.0,No,Escalated
7000070,1235967,4,Account Issue,55.4,3.1,No,Open
7000071,1143969,2,Account Issue,17.6,2.3,No,Resolved
7000072,1072548,4,Wrong Item,50.3,3.8,Yes,Resolved
7000073,1217511,6,Other,30.5,1.8,No,Escalated
7000074,1204199,7,Other,1.4,2.4,Yes,Escalated
7000075,1447453,4,Other,16.6,2.7,No,Resolved
7000076,1203874,7,Product Quality,60.7,4.7,No,Resolved
7000077,1475492,1,Payment Issue,46.6,1.5,No,Escalated
7000078,1095279,5,Wrong Item,24.2,2.8,Yes,Closed
7000079,1399104,5,Wrong Item,18.9,1.3,No,Resolved
7000080,1392705,6,Refund Request,47.2,4.1,Yes,Resolved
7000081,1395436,4,Refund Request,60.6,3.5,Yes,Open
7000082,1066177,2,Refund Request,34.0,2.0,No,Closed
7000083,1087970,3,Account Issue,8.7,1.1,Yes,Closed
7000084,1301884,7,Refund Request,6.4,3.8,No,Open
7000085,1053426,2,Delivery Delay,25.7,2.7,No,Closed
7000086,1036154,1,Wrong Item,59.4,1.4,No,Closed
7000087,1333230,3,Wrong Item,13.5,3.1,No,Closed
7000088,1322916,8,Wrong Item,59.6,3.4,No,Closed
7000089,1446543,2,Account Issue,63.6,2.0,Yes,Escalated
7000090,1298766,6,Delivery Delay,36.1,2.3,No,Escalated
7000091,1111212,5,Technical Problem,20.9,3.4,No,Closed
7000092,1291395,4,Payment Issue,18.1,2.6,Yes,Open
7000093,1362079,8,Other,57.3,1.4,No,Open
7000094,1212023,5,Technical Problem,34.6,3.1,Yes,Escalated
7000095,1391085,6,Other,20.2,2.0,No,Resolved
7000096,1378161,6,Payment Issue,53.7,4.8,Yes,Open
7000097,1100423,8,Account Issue,52.4,4.9,Yes,Closed
7000098,1052705,5,Refund Request,26.6,2.2,Yes,Open
7000099,1143819,1,Account Issue,50.5,1.5,Yes,Escalated
7000100,1053786,5,Other,35.0,2.4,Yes,Resolved
7000101,1132372,2,Payment Issue,29.5,1.3,No,Resolved
7000102,1079549,5,Payment Issue,71.6,1.5,Yes,Escalated
7000103,1317886,7,Other,65.5,2.2,Yes,Escalated
7000104,1160108,2,Refund Request,45.4,2.1,Yes,Resolved
7000105,1082344,3,Payment Issue,12.1,2.6,Yes,Escalated
7000106,1152704,4,Account Issue,51.2,3.8,Yes,Escalated
7000107,1037319,5,Refund Request,31.2,3.2,Yes,Open
7000108,1476270,3,Payment Issue,5.2,4.2,No,Closed
7000109,1230243,8,Account Issue,50.7,4.8,Yes,Escalated
7000110,1229512,1,Wrong Item,53.2,3.4,Yes,Resolved
7000111,1047882,1,Account Issue,41.9,4.1,Yes,Open
7000112,1246678,5,Product Quality,71.8,2.7,No,Escalated
